Ingreso,Título,Jurisdicción,Departamento
2018/12/26,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/12/28,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/12/14,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/04/14,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/04/27,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/12/21,ABUSO SEXUAL,COMISARÍA 15,DURAZNO
2018/10/31,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/12/05,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/08/23,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/06/03,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/07/02,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/05/02,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/02/18,ABUSO SEXUAL,COMISARÍA 3,COLONIA
2018/11/30,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/04/16,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/11/16,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/11/27,ABUSO SEXUAL,COMISARÍA 7,ARTIGAS
2018/09/21,ABUSO SEXUAL,COMISARÍA 10,SAN JOSÉ
2018/08/22,ABUSO SEXUAL,COMISARÍA 1,RÍO NEGRO
2018/11/03,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/10/29,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/11/29,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/09/11,ABUSO SEXUAL,COMISARÍA 26,CANELONES
2018/12/14,ABUSO SEXUAL,COMISARÍA 27,CANELONES
2018/11/29,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/11/27,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/07/16,ABUSO SEXUAL,COMISARÍA 1,SAN JOSÉ
2018/12/13,ABUSO SEXUAL,COMISARÍA 1,LAVALLEJA
2018/08/07,ABUSO SEXUAL,COMISARÍA 6,PAYSANDÚ
2018/12/04,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/07/06,ABUSO SEXUAL,COMISARÍA 8,MONTEVIDEO
2018/10/29,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/03/02,ABUSO SEXUAL,COMISARÍA 5,ROCHA
2018/04/27,ABUSO SEXUAL,COMISARÍA 9,MONTEVIDEO
2018/05/28,ABUSO SEXUAL,COMISARÍA 3,PAYSANDÚ
2018/05/18,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/07/19,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/10/24,ABUSO SEXUAL,COMISARÍA 10,MALDONADO
2018/06/22,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/09/18,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/03/23,ABUSO SEXUAL,COMISARÍA 4,MONTEVIDEO
2018/12/23,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/04/24,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/12/20,ABUSO SEXUAL,COMISARÍA 25,CANELONES
2018/12/21,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/08/11,ABUSO SEXUAL,COMISARÍA 14,SALTO
2018/11/27,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/02/28,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/01/25,ABUSO SEXUAL,COMISARÍA 2,ARTIGAS
2018/01/29,ABUSO SEXUAL,COMISARÍA 1,ARTIGAS
2018/11/21,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/03/05,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/06/09,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/02/13,ABUSO SEXUAL,COMISARÍA 19,CANELONES
2018/02/15,ABUSO SEXUAL,COMISARÍA 25,MONTEVIDEO
2018/02/17,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/03/06,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/02/16,ABUSO SEXUAL,COMISARÍA 6,CERRO LARGO
2018/02/19,ABUSO SEXUAL,COMISARÍA 7,FLORES
2018/02/18,ABUSO SEXUAL,PREFECTURA DEL PUERTO DE LA PALOMA,ROCHA
2018/10/20,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/04/04,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/02/20,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/02/21,ABUSO SEXUAL,COMISARÍA 1,CERRO LARGO
2018/02/23,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/02/23,ABUSO SEXUAL,COMISARÍA 20,CANELONES
2018/07/04,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/02/26,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/02/27,ABUSO SEXUAL,COMISARÍA 1,ARTIGAS
2018/11/05,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/02/28,ABUSO SEXUAL,COMISARÍA 12,PAYSANDÚ
2018/03/16,ABUSO SEXUAL,COMISARÍA 11,TACUAREMBÓ
2018/03/23,ABUSO SEXUAL,COMISARÍA 6,RÍO NEGRO
2018/03/05,ABUSO SEXUAL,COMISARÍA 1,SAN JOSÉ
2018/03/05,ABUSO SEXUAL,COMISARÍA 15,CERRO LARGO
2018/03/06,ABUSO SEXUAL,COMISARÍA 22,MONTEVIDEO
2018/03/07,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/03/08,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/03/08,ABUSO SEXUAL,COMISARÍA 24,CANELONES
2018/03/16,ABUSO SEXUAL,COMISARÍA 3,CERRO LARGO
2018/05/05,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/03/14,ABUSO SEXUAL,COMISARÍA 6,MONTEVIDEO
2018/03/30,ABUSO SEXUAL,COMISARÍA 6,RÍO NEGRO
2018/06/13,ABUSO SEXUAL,COMISARÍA 3,SALTO
2018/03/16,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/03/18,ABUSO SEXUAL,COMISARÍA 8,COLONIA
2018/03/18,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/03/19,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/03/19,ABUSO SEXUAL,COMISARÍA 4,COLONIA
2018/04/02,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/04/22,ABUSO SEXUAL,COMISARÍA 22,MONTEVIDEO
2018/03/26,ABUSO SEXUAL,COMISARÍA 2,MONTEVIDEO
2018/03/22,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/03/23,ABUSO SEXUAL,COMISARÍA 10,COLONIA
2018/03/24,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/03/27,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/03/27,ABUSO SEXUAL,COMISARÍA 20,CANELONES
2018/03/28,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/03/27,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/03/30,ABUSO SEXUAL,COMISARÍA 1,PAYSANDÚ
2018/03/31,ABUSO SEXUAL,PREFECTURA DEL PUERTO DE MALDONADO,MALDONADO
2018/05/09,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/04/03,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/04/04,ABUSO SEXUAL,COMISARÍA 1,PAYSANDÚ
2018/04/05,ABUSO SEXUAL,COMISARÍA 5,RIVERA
2018/04/05,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/04/05,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/04/05,ABUSO SEXUAL,COMISARÍA 2,TREINTA Y TRES
2018/04/10,ABUSO SEXUAL,COMISARÍA 8,RIVERA
2018/04/06,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/06,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/07,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/04/16,ABUSO SEXUAL,COMISARÍA 4,LAVALLEJA
2018/04/10,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/04/09,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/04/11,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/04/11,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/04/12,ABUSO SEXUAL,COMISARÍA 14,TACUAREMBÓ
2018/08/07,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/18,ABUSO SEXUAL,COMISARÍA 4,TACUAREMBÓ
2018/04/18,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/04/24,ABUSO SEXUAL,COMISARÍA 14,COLONIA
2018/04/20,ABUSO SEXUAL,COMISARÍA 8,PAYSANDÚ
2018/04/20,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/04/25,ABUSO SEXUAL,COMISARÍA 18,CANELONES
2018/04/21,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/04/21,ABUSO SEXUAL,COMISARÍA 3,CANELONES
2018/04/22,ABUSO SEXUAL,COMISARÍA 10,RIVERA
